name,x,y,width,height
R201,21,9.6,1.1,1
R202,19.7,9.6,1.1,1.9
R203,21,10.6,1.1,1
R204,19.7,11.5,1.1,1
R205,21,11.6,1.1,1
R220,16.4,9.6,1.5,1
R222,17.9,9.6,1.8,1
R234,8.5,10.3,2.6,3.5
R235,5.9,10.3,2.6,3.5
R236,2.3,10.3,1.8,3.5
R236A,4.1,10.3,1.8,3.5
R239,2.3,5.3,1.5,3.3
R241,3.8,5.3,1.5,3.3
R242,5.3,5.3,1.5,3.3
R245,6.8,5.3,1.5,3.3
R246,8.3,5.3,1.5,3.3
R249,9.8,7.2,2,1.4
R249A,9.8,5.3,2,1.9
R250,11.8,5.3,1.6,3.3
R252,14.8,5.3,0.7,1
R253,14.1,5.3,0.7,1
R254,13.4,5.3,0.7,1
R255,13.4,3,0.9,1.3
R256,14.3,3,0.9,1.3
R257,15.2,3,0.9,1.3
R258,16.1,3,1,1.3
R259,17.1,3,1,1.3
R260,18.4,3,1,1.3
R261,20.4,3,1.2,1
R262,20.4,4,1.2,1
R263,20.4,5,1.2,1
R264,20.4,6,1.2,1
